Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-wtlu,randomiser-pj22,order-cvp5,order-q334,order-npbb,branch-6wvj,Randomise questionnaire elements?,Question Key,Response
1,1670404404281,07/12/2022 09:13:24,1670404404248,0,07/12/2022 09:13:24,100427,13,questionnaire-6z1p,,25745468,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,Interoceptive Accuracy Scale (IAS),4,,first_interoception,,AB,AB,accept,No,BEGIN QUESTIONNAIRE,
2,1670404650654,07/12/2022 09:17:30,1670404650631,0,07/12/2022 09:17:30,100427,13,questionnaire-6z1p,,25745468,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,Interoceptive Accuracy Scale (IAS),4,,first_interoception,,AB,AB,accept,No,IAS1,Agree
3,1670404650709,07/12/2022 09:17:30,1670404650632,0,07/12/2022 09:17:30,100427,13,questionnaire-6z1p,,25745468,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,Interoceptive Accuracy Scale (IAS),4,,first_interoception,,AB,AB,accept,No,IAS1-quantised,4
4,1670404650709,07/12/2022 09:17:30,1670404650632,0,07/12/2022 09:17:30,100427,13,questionnaire-6z1p,,25745468,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,Interoceptive Accuracy Scale (IAS),4,,first_interoception,,AB,AB,accept,No,IAS2,Agree
5,1670404650709,07/12/2022 09:17:30,1670404650633,0,07/12/2022 09:17:30,100427,13,questionnaire-6z1p,,25745468,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,Interoceptive Accuracy Scale (IAS),4,,first_interoception,,AB,AB,accept,No,IAS2-quantised,4
6,1670404650709,07/12/2022 09:17:30,1670404650633,0,07/12/2022 09:17:30,100427,13,questionnaire-6z1p,,25745468,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,Interoceptive Accuracy Scale (IAS),4,,first_interoception,,AB,AB,accept,No,IAS3,Strongly Agree
7,1670404650709,07/12/2022 09:17:30,1670404650633,0,07/12/2022 09:17:30,100427,13,questionnaire-6z1p,,25745468,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,Interoceptive Accuracy Scale (IAS),4,,first_interoception,,AB,AB,accept,No,IAS3-quantised,5
8,1670404650709,07/12/2022 09:17:30,1670404650633,0,07/12/2022 09:17:30,100427,13,questionnaire-6z1p,,25745468,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,Interoceptive Accuracy Scale (IAS),4,,first_interoception,,AB,AB,accept,No,IAS4,Disagree
9,1670404650709,07/12/2022 09:17:30,1670404650633,0,07/12/2022 09:17:30,100427,13,questionnaire-6z1p,,25745468,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,Interoceptive Accuracy Scale (IAS),4,,first_interoception,,AB,AB,accept,No,IAS4-quantised,2
10,1670404650709,07/12/2022 09:17:30,1670404650634,0,07/12/2022 09:17:30,100427,13,questionnaire-6z1p,,25745468,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,Interoceptive Accuracy Scale (IAS),4,,first_interoception,,AB,AB,accept,No,IAS5,Strongly Agree
