Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-wtlu,randomiser-pj22,order-cvp5,order-q334,order-npbb,branch-6wvj,Randomise questionnaire elements?,Question Key,Response
1,1670405001927,07/12/2022 09:23:21,1670405001895,0,07/12/2022 09:23:21,100427,13,questionnaire-9431,,25745713,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IRI Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,BEGIN QUESTIONNAIRE,
2,1670405351636,07/12/2022 09:29:11,1670405351523,0,07/12/2022 09:29:11,100427,13,questionnaire-9431,,25745713,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,IRI Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,IRI1,1
3,1670405351694,07/12/2022 09:29:11,1670405351525,0,07/12/2022 09:29:11,100427,13,questionnaire-9431,,25745713,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,IRI Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,IRI1-quantised,2
4,1670405351694,07/12/2022 09:29:11,1670405351525,0,07/12/2022 09:29:11,100427,13,questionnaire-9431,,25745713,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,IRI Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,IRI2,3
5,1670405351694,07/12/2022 09:29:11,1670405351525,0,07/12/2022 09:29:11,100427,13,questionnaire-9431,,25745713,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,IRI Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,IRI2-quantised,4
6,1670405351694,07/12/2022 09:29:11,1670405351525,0,07/12/2022 09:29:11,100427,13,questionnaire-9431,,25745713,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,IRI Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,IRI3,2
7,1670405351694,07/12/2022 09:29:11,1670405351525,0,07/12/2022 09:29:11,100427,13,questionnaire-9431,,25745713,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,IRI Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,IRI3-quantised,3
8,1670405351694,07/12/2022 09:29:11,1670405351525,0,07/12/2022 09:29:11,100427,13,questionnaire-9431,,25745713,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,IRI Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,IRI4,4
9,1670405351694,07/12/2022 09:29:11,1670405351526,0,07/12/2022 09:29:11,100427,13,questionnaire-9431,,25745713,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,IRI Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,IRI4-quantised,5
10,1670405351694,07/12/2022 09:29:11,1670405351526,0,07/12/2022 09:29:11,100427,13,questionnaire-9431,,25745713,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,IRI Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,IRI5,0
