Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-wtlu,randomiser-pj22,order-cvp5,order-q334,order-npbb,branch-6wvj,Randomise questionnaire elements?,Question Key,Response
1,1670404651829,07/12/2022 09:17:31,1670404651760,0,07/12/2022 09:17:31,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,BEGIN QUESTIONNAIRE,
2,1670405000946,07/12/2022 09:23:20,1670405000875,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ1,Sometimes
3,1670405001010,07/12/2022 09:23:21,1670405000876,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ1-quantised,3
4,1670405001010,07/12/2022 09:23:21,1670405000876,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ2,Rarely
5,1670405001010,07/12/2022 09:23:21,1670405000876,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ2-quantised,2
6,1670405001010,07/12/2022 09:23:21,1670405000877,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ3,Always
7,1670405001010,07/12/2022 09:23:21,1670405000877,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ3-quantised,5
8,1670405001010,07/12/2022 09:23:21,1670405000877,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ4,Never
9,1670405001010,07/12/2022 09:23:21,1670405000877,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ4-quantised,1
10,1670405001010,07/12/2022 09:23:21,1670405000877,0,07/12/2022 09:23:20,100427,13,questionnaire-ab2a,,25745565,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,TEQ Self-reported empathy,10,,first_interoception,,AB,AB,accept,No,TEQ5,Always
