Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-wtlu,randomiser-pj22,order-cvp5,order-q334,order-npbb,branch-6wvj,Randomise questionnaire elements?,Question Key,Response
1,1670403865857,07/12/2022 09:04:25,1670403865801,0,07/12/2022 09:04:25,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,BEGIN QUESTIONNAIRE,
2,1670404402959,07/12/2022 09:13:22,1670404402882,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS1,Neither Agree or Disagree
3,1670404403017,07/12/2022 09:13:23,1670404402883,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS1-quantised,3
4,1670404403017,07/12/2022 09:13:23,1670404402883,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS2,Agree
5,1670404403017,07/12/2022 09:13:23,1670404402884,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS2-quantised,4
6,1670404403017,07/12/2022 09:13:23,1670404402884,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS3,Agree
7,1670404403017,07/12/2022 09:13:23,1670404402884,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS3-quantised,4
8,1670404403017,07/12/2022 09:13:23,1670404402884,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS4,Strongly Disagree
9,1670404403017,07/12/2022 09:13:23,1670404402884,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS4-quantised,1
10,1670404403017,07/12/2022 09:13:23,1670404402884,0,07/12/2022 09:13:22,100427,13,questionnaire-cfle,,25745282,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,IATS (Full),3,,first_interoception,,AB,AB,accept,No,IATS5,Disagree
