Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-wtlu,randomiser-pj22,order-cvp5,order-q334,order-npbb,branch-6wvj,Randomise questionnaire elements?,Question Key,Response
1,1670404128221,07/12/2022 09:08:48,1670404128215,0,07/12/2022 09:08:48,100427,13,questionnaire-dyyc,,25745381,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,TEQ Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,BEGIN QUESTIONNAIRE,
2,1670404243528,07/12/2022 09:10:43,1670404243585,0,07/12/2022 09:10:43,100427,13,questionnaire-dyyc,,25745381,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,TEQ1,Often
3,1670404243582,07/12/2022 09:10:43,1670404243587,0,07/12/2022 09:10:43,100427,13,questionnaire-dyyc,,25745381,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,TEQ1-quantised,4
4,1670404243582,07/12/2022 09:10:43,1670404243587,0,07/12/2022 09:10:43,100427,13,questionnaire-dyyc,,25745381,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,TEQ2,Often
5,1670404243582,07/12/2022 09:10:43,1670404243587,0,07/12/2022 09:10:43,100427,13,questionnaire-dyyc,,25745381,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,TEQ2-quantised,4
6,1670404243582,07/12/2022 09:10:43,1670404243587,0,07/12/2022 09:10:43,100427,13,questionnaire-dyyc,,25745381,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,TEQ3,Always
7,1670404243582,07/12/2022 09:10:43,1670404243587,0,07/12/2022 09:10:43,100427,13,questionnaire-dyyc,,25745381,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,TEQ3-quantised,5
8,1670404243582,07/12/2022 09:10:43,1670404243587,0,07/12/2022 09:10:43,100427,13,questionnaire-dyyc,,25745381,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,TEQ4,Never
9,1670404243582,07/12/2022 09:10:43,1670404243587,0,07/12/2022 09:10:43,100427,13,questionnaire-dyyc,,25745381,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,TEQ4-quantised,1
10,1670404243582,07/12/2022 09:10:43,1670404243587,0,07/12/2022 09:10:43,100427,13,questionnaire-dyyc,,25745381,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,TEQ5,Always
11,1670404243582,07/12/2022 09:10:43,1670404243587,0,07/12/2022 09:10:43,100427,13,questionnaire-dyyc,,25745381,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,TEQ5-quantised,5
12,1670404243582,07/12/2022 09:10:43,1670404243588,0,07/12/2022 09:10:43,100427,13,questionnaire-dyyc,,25745381,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,TEQ6,Often
13,1670404243582,07/12/2022 09:10:43,1670404243588,0,07/12/2022 09:10:43,100427,13,questionnaire-dyyc,,25745381,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,TEQ6-quantised,4
14,1670404243582,07/12/2022 09:10:43,1670404243588,0,07/12/2022 09:10:43,100427,13,questionnaire-dyyc,,25745381,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,TEQ7,Rarely
15,1670404243582,07/12/2022 09:10:43,1670404243588,0,07/12/2022 09:10:43,100427,13,questionnaire-dyyc,,25745381,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,TEQ7-quantised,2
16,1670404243582,07/12/2022 09:10:43,1670404243588,0,07/12/2022 09:10:43,100427,13,questionnaire-dyyc,,25745381,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,TEQ Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,TEQ8,Sometimes
