Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-wtlu,randomiser-pj22,order-cvp5,order-q334,order-npbb,branch-6wvj,Randomise questionnaire elements?,Question Key,Response
1,1670404244927,07/12/2022 09:10:44,1670404244945,0,07/12/2022 09:10:44,100427,13,questionnaire-qdp7,,25745423,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IATS (Full),3,AB,first_empathy,AB,,,accept,No,BEGIN QUESTIONNAIRE,
2,1670404496516,07/12/2022 09:14:56,1670404496505,0,07/12/2022 09:14:56,100427,13,questionnaire-qdp7,,25745423,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IATS (Full),3,AB,first_empathy,AB,,,accept,No,IATS1,Neither Agree or Disagree
3,1670404496572,07/12/2022 09:14:56,1670404496506,0,07/12/2022 09:14:56,100427,13,questionnaire-qdp7,,25745423,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IATS (Full),3,AB,first_empathy,AB,,,accept,No,IATS1-quantised,3
4,1670404496572,07/12/2022 09:14:56,1670404496506,0,07/12/2022 09:14:56,100427,13,questionnaire-qdp7,,25745423,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IATS (Full),3,AB,first_empathy,AB,,,accept,No,IATS2,Agree
5,1670404496572,07/12/2022 09:14:56,1670404496506,0,07/12/2022 09:14:56,100427,13,questionnaire-qdp7,,25745423,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IATS (Full),3,AB,first_empathy,AB,,,accept,No,IATS2-quantised,4
6,1670404496572,07/12/2022 09:14:56,1670404496506,0,07/12/2022 09:14:56,100427,13,questionnaire-qdp7,,25745423,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IATS (Full),3,AB,first_empathy,AB,,,accept,No,IATS3,Neither Agree or Disagree
7,1670404496572,07/12/2022 09:14:56,1670404496506,0,07/12/2022 09:14:56,100427,13,questionnaire-qdp7,,25745423,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IATS (Full),3,AB,first_empathy,AB,,,accept,No,IATS3-quantised,3
8,1670404496572,07/12/2022 09:14:56,1670404496506,0,07/12/2022 09:14:56,100427,13,questionnaire-qdp7,,25745423,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IATS (Full),3,AB,first_empathy,AB,,,accept,No,IATS4,Agree
9,1670404496572,07/12/2022 09:14:56,1670404496507,0,07/12/2022 09:14:56,100427,13,questionnaire-qdp7,,25745423,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IATS (Full),3,AB,first_empathy,AB,,,accept,No,IATS4-quantised,4
10,1670404496572,07/12/2022 09:14:56,1670404496507,0,07/12/2022 09:14:56,100427,13,questionnaire-qdp7,,25745423,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IATS (Full),3,AB,first_empathy,AB,,,accept,No,IATS5,Strongly Agree
11,1670404496572,07/12/2022 09:14:56,1670404496507,0,07/12/2022 09:14:56,100427,13,questionnaire-qdp7,,25745423,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IATS (Full),3,AB,first_empathy,AB,,,accept,No,IATS5-quantised,5
12,1670404496572,07/12/2022 09:14:56,1670404496507,0,07/12/2022 09:14:56,100427,13,questionnaire-qdp7,,25745423,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IATS (Full),3,AB,first_empathy,AB,,,accept,No,IATS6,Strongly Agree
13,1670404496572,07/12/2022 09:14:56,1670404496507,0,07/12/2022 09:14:56,100427,13,questionnaire-qdp7,,25745423,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IATS (Full),3,AB,first_empathy,AB,,,accept,No,IATS6-quantised,5
14,1670404496572,07/12/2022 09:14:56,1670404496507,0,07/12/2022 09:14:56,100427,13,questionnaire-qdp7,,25745423,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IATS (Full),3,AB,first_empathy,AB,,,accept,No,IATS7,Strongly Agree
15,1670404496572,07/12/2022 09:14:56,1670404496507,0,07/12/2022 09:14:56,100427,13,questionnaire-qdp7,,25745423,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IATS (Full),3,AB,first_empathy,AB,,,accept,No,IATS7-quantised,5
16,1670404496572,07/12/2022 09:14:56,1670404496508,0,07/12/2022 09:14:56,100427,13,questionnaire-qdp7,,25745423,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IATS (Full),3,AB,first_empathy,AB,,,accept,No,IATS8,Strongly Disagree
17,1670404496572,07/12/2022 09:14:56,1670404496508,0,07/12/2022 09:14:56,100427,13,questionnaire-qdp7,,25745423,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IATS (Full),3,AB,first_empathy,AB,,,accept,No,IATS8-quantised,1
