Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-wtlu,randomiser-pj22,order-cvp5,order-q334,order-npbb,branch-6wvj,Randomise questionnaire elements?,Question Key,Response
1,1670403712693,07/12/2022 09:01:52,1670403712778,0,07/12/2022 09:01:52,100427,13,questionnaire-rp1o,,25745222,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,ConsentForm_Testable,4,,first_interoception,,AB,AB,accept,No,BEGIN QUESTIONNAIRE,
2,1670403794663,07/12/2022 09:03:14,1670403794670,0,07/12/2022 09:03:14,100427,13,questionnaire-rp1o,,25745222,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,ConsentForm_Testable,4,,first_interoception,,AB,AB,accept,No,response-1,1
3,1670403794761,07/12/2022 09:03:14,1670403794672,0,07/12/2022 09:03:14,100427,13,questionnaire-rp1o,,25745222,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,ConsentForm_Testable,4,,first_interoception,,AB,AB,accept,No,response-2,1
4,1670403794761,07/12/2022 09:03:14,1670403794672,0,07/12/2022 09:03:14,100427,13,questionnaire-rp1o,,25745222,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,ConsentForm_Testable,4,,first_interoception,,AB,AB,accept,No,response-3,1
5,1670403794761,07/12/2022 09:03:14,1670403794672,0,07/12/2022 09:03:14,100427,13,questionnaire-rp1o,,25745222,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,ConsentForm_Testable,4,,first_interoception,,AB,AB,accept,No,response-4,1
6,1670403794761,07/12/2022 09:03:14,1670403794672,0,07/12/2022 09:03:14,100427,13,questionnaire-rp1o,,25745222,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,ConsentForm_Testable,4,,first_interoception,,AB,AB,accept,No,response-5,1
7,1670403794761,07/12/2022 09:03:14,1670403794672,0,07/12/2022 09:03:14,100427,13,questionnaire-rp1o,,25745222,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,ConsentForm_Testable,4,,first_interoception,,AB,AB,accept,No,response-6,1
8,1670403794761,07/12/2022 09:03:14,1670403794673,0,07/12/2022 09:03:14,100427,13,questionnaire-rp1o,,25745222,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,ConsentForm_Testable,4,,first_interoception,,AB,AB,accept,No,response-7,1
9,1670403794761,07/12/2022 09:03:14,1670403794673,0,07/12/2022 09:03:14,100427,13,questionnaire-rp1o,,25745222,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,ConsentForm_Testable,4,,first_interoception,,AB,AB,accept,No,response-8,A649
10,1670403794761,07/12/2022 09:03:14,1670403794673,0,07/12/2022 09:03:14,100427,13,questionnaire-rp1o,,25745222,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,ConsentForm_Testable,4,,first_interoception,,AB,AB,accept,No,response-9,Gemma
11,1670403794761,07/12/2022 09:03:14,1670403794673,0,07/12/2022 09:03:14,100427,13,questionnaire-rp1o,,25745222,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,ConsentForm_Testable,4,,first_interoception,,AB,AB,accept,No,END QUESTIONNAIRE,81895
1,1670403798146,07/12/2022 09:03:18,1670403798912,0,07/12/2022 09:03:18,100427,13,questionnaire-rp1o,,25745257,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,BEGIN QUESTIONNAIRE,
2,1670403842356,07/12/2022 09:04:02,1670403842432,0,07/12/2022 09:04:02,100427,13,questionnaire-rp1o,,25745257,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,response-1,1
3,1670403842413,07/12/2022 09:04:02,1670403842433,0,07/12/2022 09:04:02,100427,13,questionnaire-rp1o,,25745257,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,response-2,1
4,1670403842413,07/12/2022 09:04:02,1670403842433,0,07/12/2022 09:04:02,100427,13,questionnaire-rp1o,,25745257,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,response-3,1
5,1670403842413,07/12/2022 09:04:02,1670403842433,0,07/12/2022 09:04:02,100427,13,questionnaire-rp1o,,25745257,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,response-4,1
6,1670403842413,07/12/2022 09:04:02,1670403842433,0,07/12/2022 09:04:02,100427,13,questionnaire-rp1o,,25745257,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,response-5,1
7,1670403842413,07/12/2022 09:04:02,1670403842433,0,07/12/2022 09:04:02,100427,13,questionnaire-rp1o,,25745257,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,response-6,1
8,1670403842413,07/12/2022 09:04:02,1670403842434,0,07/12/2022 09:04:02,100427,13,questionnaire-rp1o,,25745257,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,response-7,1
9,1670403842413,07/12/2022 09:04:02,1670403842434,0,07/12/2022 09:04:02,100427,13,questionnaire-rp1o,,25745257,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,response-8,A928
10,1670403842413,07/12/2022 09:04:02,1670403842434,0,07/12/2022 09:04:02,100427,13,questionnaire-rp1o,,25745257,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,response-9,Gemma
11,1670403842413,07/12/2022 09:04:02,1670403842434,0,07/12/2022 09:04:02,100427,13,questionnaire-rp1o,,25745257,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,END QUESTIONNAIRE,43522
1,1670587176366,09/12/2022 11:59:36,1670587176452,0,09/12/2022 11:59:36,100427,13,questionnaire-rp1o,,25819050,A558,7638146,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,929x932,,ConsentForm_Testable,4,BA,first_empathy,BA,,,accept,No,BEGIN QUESTIONNAIRE,
2,1670587208854,09/12/2022 12:00:08,1670587208940,0,09/12/2022 12:00:08,100427,13,questionnaire-rp1o,,25819050,A558,7638146,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,912x932,,ConsentForm_Testable,4,BA,first_empathy,BA,,,accept,No,response-1,1
3,1670587208917,09/12/2022 12:00:08,1670587208941,0,09/12/2022 12:00:08,100427,13,questionnaire-rp1o,,25819050,A558,7638146,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,912x932,,ConsentForm_Testable,4,BA,first_empathy,BA,,,accept,No,response-2,1
4,1670587208917,09/12/2022 12:00:08,1670587208941,0,09/12/2022 12:00:08,100427,13,questionnaire-rp1o,,25819050,A558,7638146,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,912x932,,ConsentForm_Testable,4,BA,first_empathy,BA,,,accept,No,response-3,1
5,1670587208917,09/12/2022 12:00:08,1670587208941,0,09/12/2022 12:00:08,100427,13,questionnaire-rp1o,,25819050,A558,7638146,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,912x932,,ConsentForm_Testable,4,BA,first_empathy,BA,,,accept,No,response-4,1
6,1670587208917,09/12/2022 12:00:08,1670587208941,0,09/12/2022 12:00:08,100427,13,questionnaire-rp1o,,25819050,A558,7638146,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,912x932,,ConsentForm_Testable,4,BA,first_empathy,BA,,,accept,No,response-5,1
7,1670587208917,09/12/2022 12:00:08,1670587208941,0,09/12/2022 12:00:08,100427,13,questionnaire-rp1o,,25819050,A558,7638146,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,912x932,,ConsentForm_Testable,4,BA,first_empathy,BA,,,accept,No,response-6,1
8,1670587208917,09/12/2022 12:00:08,1670587208942,0,09/12/2022 12:00:08,100427,13,questionnaire-rp1o,,25819050,A558,7638146,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,912x932,,ConsentForm_Testable,4,BA,first_empathy,BA,,,accept,No,response-7,1
9,1670587208917,09/12/2022 12:00:08,1670587208942,0,09/12/2022 12:00:08,100427,13,questionnaire-rp1o,,25819050,A558,7638146,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,912x932,,ConsentForm_Testable,4,BA,first_empathy,BA,,,accept,No,response-8,A558
10,1670587208917,09/12/2022 12:00:08,1670587208942,0,09/12/2022 12:00:08,100427,13,questionnaire-rp1o,,25819050,A558,7638146,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,912x932,,ConsentForm_Testable,4,BA,first_empathy,BA,,,accept,No,response-9,Dorina
11,1670587208917,09/12/2022 12:00:08,1670587208942,0,09/12/2022 12:00:08,100427,13,questionnaire-rp1o,,25819050,A558,7638146,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,912x932,,ConsentForm_Testable,4,BA,first_empathy,BA,,,accept,No,END QUESTIONNAIRE,32490
1,1671023116961,14/12/2022 13:05:16,1671023116916,0,14/12/2022 13:05:16,100427,13,questionnaire-rp1o,,25950845,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,ConsentForm_Testable,4,,first_interoception,,BA,BA,accept,No,BEGIN QUESTIONNAIRE,
2,1671023168436,14/12/2022 13:06:08,1671023168384,0,14/12/2022 13:06:08,100427,13,questionnaire-rp1o,,25950845,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,,first_interoception,,BA,BA,accept,No,response-1,1
3,1671023168498,14/12/2022 13:06:08,1671023168385,0,14/12/2022 13:06:08,100427,13,questionnaire-rp1o,,25950845,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,,first_interoception,,BA,BA,accept,No,response-2,1
4,1671023168498,14/12/2022 13:06:08,1671023168385,0,14/12/2022 13:06:08,100427,13,questionnaire-rp1o,,25950845,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,,first_interoception,,BA,BA,accept,No,response-3,1
5,1671023168498,14/12/2022 13:06:08,1671023168385,0,14/12/2022 13:06:08,100427,13,questionnaire-rp1o,,25950845,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,,first_interoception,,BA,BA,accept,No,response-4,1
6,1671023168498,14/12/2022 13:06:08,1671023168385,0,14/12/2022 13:06:08,100427,13,questionnaire-rp1o,,25950845,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,,first_interoception,,BA,BA,accept,No,response-5,1
7,1671023168498,14/12/2022 13:06:08,1671023168385,0,14/12/2022 13:06:08,100427,13,questionnaire-rp1o,,25950845,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,,first_interoception,,BA,BA,accept,No,response-6,1
8,1671023168498,14/12/2022 13:06:08,1671023168386,0,14/12/2022 13:06:08,100427,13,questionnaire-rp1o,,25950845,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,,first_interoception,,BA,BA,accept,No,response-7,1
9,1671023168498,14/12/2022 13:06:08,1671023168386,0,14/12/2022 13:06:08,100427,13,questionnaire-rp1o,,25950845,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,,first_interoception,,BA,BA,accept,No,response-8,A545
10,1671023168498,14/12/2022 13:06:08,1671023168386,0,14/12/2022 13:06:08,100427,13,questionnaire-rp1o,,25950845,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,,first_interoception,,BA,BA,accept,No,response-9,Gemma
11,1671023168498,14/12/2022 13:06:08,1671023168386,0,14/12/2022 13:06:08,100427,13,questionnaire-rp1o,,25950845,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,ConsentForm_Testable,4,,first_interoception,,BA,BA,accept,No,END QUESTIONNAIRE,51470
1,1671111645906,15/12/2022 13:40:45,1671111651808,0,15/12/2022 13:40:51,100427,13,questionnaire-rp1o,,25971819,A345,7672474,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.42,1920x1080,1920x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,BEGIN QUESTIONNAIRE,
2,1671111661217,15/12/2022 13:41:01,1671111667162,0,15/12/2022 13:41:07,100427,13,questionnaire-rp1o,,25971819,A345,7672474,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.42,1920x1080,1903x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,response-1,1
3,1671111661283,15/12/2022 13:41:01,1671111667163,0,15/12/2022 13:41:07,100427,13,questionnaire-rp1o,,25971819,A345,7672474,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.42,1920x1080,1903x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,response-2,1
4,1671111661283,15/12/2022 13:41:01,1671111667163,0,15/12/2022 13:41:07,100427,13,questionnaire-rp1o,,25971819,A345,7672474,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.42,1920x1080,1903x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,response-3,1
5,1671111661283,15/12/2022 13:41:01,1671111667163,0,15/12/2022 13:41:07,100427,13,questionnaire-rp1o,,25971819,A345,7672474,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.42,1920x1080,1903x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,response-4,1
6,1671111661283,15/12/2022 13:41:01,1671111667164,0,15/12/2022 13:41:07,100427,13,questionnaire-rp1o,,25971819,A345,7672474,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.42,1920x1080,1903x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,response-5,1
7,1671111661283,15/12/2022 13:41:01,1671111667164,0,15/12/2022 13:41:07,100427,13,questionnaire-rp1o,,25971819,A345,7672474,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.42,1920x1080,1903x969,,ConsentForm_Testable,4,AB,first_empathy,AB,,,accept,No,response-6,1
