Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-wtlu,randomiser-pj22,order-cvp5,order-q334,order-npbb,branch-6wvj,Randomise questionnaire elements?,Question Key,Response
1,1670403514693,07/12/2022 08:58:34,1670403515126,0,07/12/2022 08:58:35,100427,13,questionnaire-rtem,,25745169,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,Information Sheet_in person,7,,first_interoception,,AB,AB,accept,No,BEGIN QUESTIONNAIRE,
2,1670403711662,07/12/2022 09:01:51,1670403711728,0,07/12/2022 09:01:51,100427,13,questionnaire-rtem,,25745169,A649,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1856x969,,Information Sheet_in person,7,,first_interoception,,AB,AB,accept,No,END QUESTIONNAIRE,196602
1,1670403715158,07/12/2022 09:01:55,1670403716730,0,07/12/2022 09:01:56,100427,13,questionnaire-rtem,,25745223,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,Information Sheet_in person,7,AB,first_empathy,AB,,,accept,No,BEGIN QUESTIONNAIRE,
2,1670403796933,07/12/2022 09:03:16,1670403797748,0,07/12/2022 09:03:17,100427,13,questionnaire-rtem,,25745223,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,Information Sheet_in person,7,AB,first_empathy,AB,,,accept,No,END QUESTIONNAIRE,81018
1,1670587075914,09/12/2022 11:57:55,1670587076043,0,09/12/2022 11:57:56,100427,13,questionnaire-rtem,,25818987,A558,7638146,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,929x932,,Information Sheet_in person,7,BA,first_empathy,BA,,,accept,No,BEGIN QUESTIONNAIRE,
2,1670587175181,09/12/2022 11:59:35,1670587175305,0,09/12/2022 11:59:35,100427,13,questionnaire-rtem,,25818987,A558,7638146,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,912x932,,Information Sheet_in person,7,BA,first_empathy,BA,,,accept,No,END QUESTIONNAIRE,99262
1,1671022922337,14/12/2022 13:02:02,1671022922303,0,14/12/2022 13:02:02,100427,13,questionnaire-rtem,,25950744,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Information Sheet_in person,7,,first_interoception,,BA,BA,accept,No,BEGIN QUESTIONNAIRE,
2,1671023116105,14/12/2022 13:05:16,1671023115945,0,14/12/2022 13:05:15,100427,13,questionnaire-rtem,,25950744,A545,7666612,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x969,,Information Sheet_in person,7,,first_interoception,,BA,BA,accept,No,END QUESTIONNAIRE,193642
1,1671111638836,15/12/2022 13:40:38,1671111644728,0,15/12/2022 13:40:44,100427,13,questionnaire-rtem,,25971817,A345,7672474,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.42,1920x1080,1920x969,,Information Sheet_in person,7,AB,first_empathy,AB,,,accept,No,BEGIN QUESTIONNAIRE,
2,1671111643609,15/12/2022 13:40:43,1671111649552,0,15/12/2022 13:40:49,100427,13,questionnaire-rtem,,25971817,A345,7672474,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.42,1920x1080,1903x969,,Information Sheet_in person,7,AB,first_empathy,AB,,,accept,No,END QUESTIONNAIRE,4824
