Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-wtlu,randomiser-pj22,order-cvp5,order-q334,order-npbb,branch-6wvj,Randomise questionnaire elements?,Question Key,Response
1,1670404497625,07/12/2022 09:14:57,1670404497579,0,07/12/2022 09:14:57,100427,13,questionnaire-s5yg,,25745506,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,Interoceptive Accuracy Scale (IAS),4,AB,first_empathy,AB,,,accept,No,BEGIN QUESTIONNAIRE,
2,1670404607086,07/12/2022 09:16:47,1670404607053,0,07/12/2022 09:16:47,100427,13,questionnaire-s5yg,,25745506,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,Interoceptive Accuracy Scale (IAS),4,AB,first_empathy,AB,,,accept,No,IAS1,Agree
3,1670404607133,07/12/2022 09:16:47,1670404607054,0,07/12/2022 09:16:47,100427,13,questionnaire-s5yg,,25745506,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,Interoceptive Accuracy Scale (IAS),4,AB,first_empathy,AB,,,accept,No,IAS1-quantised,4
4,1670404607133,07/12/2022 09:16:47,1670404607054,0,07/12/2022 09:16:47,100427,13,questionnaire-s5yg,,25745506,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,Interoceptive Accuracy Scale (IAS),4,AB,first_empathy,AB,,,accept,No,IAS2,Strongly Agree
5,1670404607133,07/12/2022 09:16:47,1670404607054,0,07/12/2022 09:16:47,100427,13,questionnaire-s5yg,,25745506,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,Interoceptive Accuracy Scale (IAS),4,AB,first_empathy,AB,,,accept,No,IAS2-quantised,5
6,1670404607133,07/12/2022 09:16:47,1670404607054,0,07/12/2022 09:16:47,100427,13,questionnaire-s5yg,,25745506,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,Interoceptive Accuracy Scale (IAS),4,AB,first_empathy,AB,,,accept,No,IAS3,Agree
7,1670404607133,07/12/2022 09:16:47,1670404607055,0,07/12/2022 09:16:47,100427,13,questionnaire-s5yg,,25745506,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,Interoceptive Accuracy Scale (IAS),4,AB,first_empathy,AB,,,accept,No,IAS3-quantised,4
8,1670404607133,07/12/2022 09:16:47,1670404607055,0,07/12/2022 09:16:47,100427,13,questionnaire-s5yg,,25745506,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,Interoceptive Accuracy Scale (IAS),4,AB,first_empathy,AB,,,accept,No,IAS4,Agree
9,1670404607133,07/12/2022 09:16:47,1670404607055,0,07/12/2022 09:16:47,100427,13,questionnaire-s5yg,,25745506,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,Interoceptive Accuracy Scale (IAS),4,AB,first_empathy,AB,,,accept,No,IAS4-quantised,4
10,1670404607133,07/12/2022 09:16:47,1670404607055,0,07/12/2022 09:16:47,100427,13,questionnaire-s5yg,,25745506,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,Interoceptive Accuracy Scale (IAS),4,AB,first_empathy,AB,,,accept,No,IAS5,Strongly Agree
11,1670404607133,07/12/2022 09:16:47,1670404607055,0,07/12/2022 09:16:47,100427,13,questionnaire-s5yg,,25745506,A928,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,Interoceptive Accuracy Scale (IAS),4,AB,first_empathy,AB,,,accept,No,IAS5-quantised,5
