Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-wtlu,randomiser-pj22,order-cvp5,order-q334,order-npbb,branch-6wvj,Randomise questionnaire elements?,Question Key,Response
1,1670403897436,07/12/2022 09:04:57,1670403897445,0,07/12/2022 09:04:57,100427,13,questionnaire-1tlv,,25745297,BLIND,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x969,,IRI Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,BEGIN QUESTIONNAIRE,
2,1670404126558,07/12/2022 09:08:46,1670404126560,0,07/12/2022 09:08:46,100427,13,questionnaire-1tlv,,25745297,BLIND,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,IRI Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,IRI1,1
3,1670404126619,07/12/2022 09:08:46,1670404126562,0,07/12/2022 09:08:46,100427,13,questionnaire-1tlv,,25745297,BLIND,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,IRI Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,IRI1-quantised,2
4,1670404126619,07/12/2022 09:08:46,1670404126562,0,07/12/2022 09:08:46,100427,13,questionnaire-1tlv,,25745297,BLIND,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,IRI Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,IRI2,3
5,1670404126619,07/12/2022 09:08:46,1670404126562,0,07/12/2022 09:08:46,100427,13,questionnaire-1tlv,,25745297,BLIND,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,IRI Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,IRI2-quantised,4
6,1670404126619,07/12/2022 09:08:46,1670404126562,0,07/12/2022 09:08:46,100427,13,questionnaire-1tlv,,25745297,BLIND,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,IRI Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,IRI3,1
7,1670404126619,07/12/2022 09:08:46,1670404126562,0,07/12/2022 09:08:46,100427,13,questionnaire-1tlv,,25745297,BLIND,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,IRI Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,IRI3-quantised,2
8,1670404126619,07/12/2022 09:08:46,1670404126563,0,07/12/2022 09:08:46,100427,13,questionnaire-1tlv,,25745297,BLIND,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,IRI Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,IRI4,0
9,1670404126619,07/12/2022 09:08:46,1670404126563,0,07/12/2022 09:08:46,100427,13,questionnaire-1tlv,,25745297,BLIND,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,IRI Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,IRI4-quantised,1
10,1670404126619,07/12/2022 09:08:46,1670404126563,0,07/12/2022 09:08:46,100427,13,questionnaire-1tlv,,25745297,BLIND,7620804,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x969,,IRI Self-reported empathy,10,AB,first_empathy,AB,,,accept,No,IRI5,3
