Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-wtlu,randomiser-pj22,order-cvp5,order-q334,order-npbb,branch-6wvj,Randomise questionnaire elements?,Question Key,Response
1,1670405957522,07/12/2022 09:39:17,1670405957463,0,07/12/2022 09:39:17,100427,13,questionnaire-2wou,,25746088,BLIND,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,Phone Task (Participants cue to ask Experimenter) ,1,,first_interoception,,AB,AB,accept,No,BEGIN QUESTIONNAIRE,
2,1670405983524,07/12/2022 09:39:43,1670405983511,0,07/12/2022 09:39:43,100427,13,questionnaire-2wou,,25746088,BLIND,7620788,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1920x1080,1873x969,,Phone Task (Participants cue to ask Experimenter) ,1,,first_interoception,,AB,AB,accept,No,END QUESTIONNAIRE,26048
1,1673436763978,11/01/2023 11:32:43,1673436763835,0,11/01/2023 11:32:43,100427,13,questionnaire-2wou,,26317332,BLIND,7769141,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.76,1920x1080,1920x969,,Phone Task (Participants cue to ask Experimenter) ,1,,first_interoception,,AB,AB,accept,No,BEGIN QUESTIONNAIRE,
2,1673436779474,11/01/2023 11:32:59,1673436779358,0,11/01/2023 11:32:59,100427,13,questionnaire-2wou,,26317332,BLIND,7769141,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.76,1920x1080,1920x969,,Phone Task (Participants cue to ask Experimenter) ,1,,first_interoception,,AB,AB,accept,No,END QUESTIONNAIRE,15523
1,1673447717598,11/01/2023 14:35:17,1673447717562,0,11/01/2023 14:35:17,100427,13,questionnaire-2wou,,26321156,BLIND,7770239,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.76,1920x1080,1920x969,,Phone Task (Participants cue to ask Experimenter) ,1,AB,first_empathy,AB,,,accept,No,BEGIN QUESTIONNAIRE,
2,1673447719162,11/01/2023 14:35:19,1673447719144,0,11/01/2023 14:35:19,100427,13,questionnaire-2wou,,26321156,BLIND,7770239,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.76,1920x1080,1920x969,,Phone Task (Participants cue to ask Experimenter) ,1,AB,first_empathy,AB,,,accept,No,END QUESTIONNAIRE,1582
1,1673613504902,13/01/2023 12:38:24,1673613504772,0,13/01/2023 12:38:24,100427,13,questionnaire-2wou,,26361930,BLIND,7781965,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.76,1920x1080,1920x969,,Phone Task (Participants cue to ask Experimenter) ,1,BA,first_empathy,BA,,,accept,No,BEGIN QUESTIONNAIRE,
2,1673613526969,13/01/2023 12:38:46,1673613526885,0,13/01/2023 12:38:46,100427,13,questionnaire-2wou,,26361930,BLIND,7781965,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.76,1920x1080,1920x969,,Phone Task (Participants cue to ask Experimenter) ,1,BA,first_empathy,BA,,,accept,No,END QUESTIONNAIRE,22112
1,1673794608282,15/01/2023 14:56:48,1673794608229,0,15/01/2023 14:56:48,100427,13,questionnaire-2wou,,26398262,BLIND,7790690,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 109.0.1518.52,1920x1080,1873x969,,Phone Task (Participants cue to ask Experimenter) ,1,,first_interoception,,BA,BA,accept,No,BEGIN QUESTIONNAIRE,
2,1673794611997,15/01/2023 14:56:51,1673794611958,0,15/01/2023 14:56:51,100427,13,questionnaire-2wou,,26398262,BLIND,7790690,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 109.0.1518.52,1920x1080,1873x969,,Phone Task (Participants cue to ask Experimenter) ,1,,first_interoception,,BA,BA,accept,No,END QUESTIONNAIRE,3729
1,1673975757278,17/01/2023 17:15:57,1673975757246,0,17/01/2023 17:15:57,100427,13,questionnaire-2wou,,26443688,BLIND,7804790,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 109.0.1518.55,1920x1080,1873x969,,Phone Task (Participants cue to ask Experimenter) ,1,BA,first_empathy,BA,,,accept,No,BEGIN QUESTIONNAIRE,
2,1673975758800,17/01/2023 17:15:58,1673975758818,0,17/01/2023 17:15:58,100427,13,questionnaire-2wou,,26443688,BLIND,7804790,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 109.0.1518.55,1920x1080,1873x969,,Phone Task (Participants cue to ask Experimenter) ,1,BA,first_empathy,BA,,,accept,No,END QUESTIONNAIRE,1573
1,1674217612467,20/01/2023 12:26:52,1674217612476,0,20/01/2023 12:26:52,100427,13,questionnaire-2wou,,26513779,BLIND,7833087,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 109.0.1518.55,1920x1080,1920x1080,,Phone Task (Participants cue to ask Experimenter) ,1,,first_interoception,,BA,BA,accept,No,BEGIN QUESTIONNAIRE,
2,1674217619782,20/01/2023 12:26:59,1674217619837,0,20/01/2023 12:26:59,100427,13,questionnaire-2wou,,26513779,BLIND,7833087,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 109.0.1518.55,1920x1080,1920x1080,,Phone Task (Participants cue to ask Experimenter) ,1,,first_interoception,,BA,BA,accept,No,END QUESTIONNAIRE,7361
1,1674225603916,20/01/2023 14:40:03,1674225603853,0,20/01/2023 14:40:03,100427,13,questionnaire-2wou,,26518232,BLIND,7834653,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x969,,Phone Task (Participants cue to ask Experimenter) ,1,,first_interoception,,BA,BA,accept,No,BEGIN QUESTIONNAIRE,
2,1674225605657,20/01/2023 14:40:05,1674225605648,0,20/01/2023 14:40:05,100427,13,questionnaire-2wou,,26518232,BLIND,7834653,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x969,,Phone Task (Participants cue to ask Experimenter) ,1,,first_interoception,,BA,BA,accept,No,END QUESTIONNAIRE,1795
1,1674829671118,27/01/2023 14:27:51,1674829671043,0,27/01/2023 14:27:51,100427,13,questionnaire-2wou,,26711688,BLIND,7924433,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 109.0.1518.61,1920x1080,1920x969,,Phone Task (Participants cue to ask Experimenter) ,1,,first_interoception,,BA,BA,accept,No,BEGIN QUESTIONNAIRE,
2,1674830654042,27/01/2023 14:44:14,1674830653942,0,27/01/2023 14:44:13,100427,13,questionnaire-2wou,,26711688,BLIND,7924433,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 109.0.1518.61,1920x1080,1920x969,,Phone Task (Participants cue to ask Experimenter) ,1,,first_interoception,,BA,BA,accept,No,END QUESTIONNAIRE,982899
