subject,effect,condition
1,-6.27,biological
2,11.48,biological
3,111.73,biological
4,6.77,biological
5,70.84,biological
6,47.23,biological
7,34.13,biological
8,44.97,biological
9,64.48,biological
10,33.89,biological
11,-6.33,biological
12,107.22,biological
13,-44.17,biological
14,33.34,biological
15,7.98,biological
16,33.05,biological
17,20.56,biological
18,197.38,biological
19,126.09,biological
20,51.74,biological
21,-1.65,biological
22,35.47,biological
23,55.71,biological
24,29.84,biological
25,33,biological
26,14.75,biological
27,93.95,biological
28,29.62,biological
29,11.75,biological
30,-10.95,biological
31,53.58,biological
32,38.05,biological
33,38.82,biological
34,72.65,biological
35,26.31,biological
36,-21.38,biological
37,29.37,biological
38,-52.86,biological
39,30.71,biological
40,106.91,biological
41,0.1,biological
42,-83.81,biological
43,22.69,biological
44,66.69,biological
45,75.46,biological
46,-6.4,biological
47,115.67,biological
48,52.7,biological
49,45.37,biological
50,3.51,biological
51,64.49,biological
52,-38.79,biological
53,21.62,biological
54,-39.67,biological
55,11.31,biological
56,25.03,biological
57,23.53,biological
58,-5.54,biological
59,-3.03,biological
60,104.77,biological
61,18.21,biological
62,34.44,biological
63,-38.79,biological
64,51.2,biological
65,15.31,biological
66,15.88,biological
67,41.41,biological
68,86.33,biological
69,20.89,biological
70,-44.14,biological
71,95.65,biological
72,-77.55,biological
73,9.89,biological
74,-0.52,biological
75,91.27,biological
76,-21.77,biological
77,87.03,biological
78,90.85,biological
79,61.11,biological
80,-38.42,biological
1,2.44,non-biological
2,81.05,non-biological
3,184.9,non-biological
4,-26.67,non-biological
5,30.44,non-biological
6,5.29,non-biological
7,45.8,non-biological
8,32.49,non-biological
9,0.47,non-biological
10,30.68,non-biological
11,-21.1,non-biological
12,-107.01,non-biological
13,-16.08,non-biological
14,138.21,non-biological
15,65.33,non-biological
16,52.11,non-biological
17,-4.41,non-biological
18,74.32,non-biological
19,-25.52,non-biological
20,-48.64,non-biological
21,24.46,non-biological
22,12.92,non-biological
23,-46.14,non-biological
24,-0.68,non-biological
25,96.73,non-biological
26,-24.36,non-biological
27,33.11,non-biological
28,51.98,non-biological
29,70.73,non-biological
30,-4.92,non-biological
31,-62.16,non-biological
32,108.17,non-biological
33,44.02,non-biological
34,57.71,non-biological
35,-46.34,non-biological
36,33.96,non-biological
37,-18.42,non-biological
38,105.8,non-biological
39,-9.42,non-biological
40,-188.76,non-biological
41,5.33,non-biological
42,119.58,non-biological
43,71.03,non-biological
44,61.62,non-biological
45,5.76,non-biological
46,163.35,non-biological
47,94.66,non-biological
48,24.69,non-biological
49,2.63,non-biological
50,24.92,non-biological
51,53.3,non-biological
52,45.28,non-biological
53,48.67,non-biological
54,100.22,non-biological
55,-4.81,non-biological
56,71.78,non-biological
57,-14,non-biological
58,63.42,non-biological
59,69.07,non-biological
60,53.61,non-biological
61,-4.42,non-biological
62,-14.94,non-biological
63,45.28,non-biological
64,2.13,non-biological
65,-27.69,non-biological
66,-3.04,non-biological
67,64.09,non-biological
68,12.89,non-biological
69,79.94,non-biological
70,79.58,non-biological
71,121.16,non-biological
72,-168.37,non-biological
73,-22.33,non-biological
74,21.05,non-biological
75,40.73,non-biological
76,-152.05,non-biological
77,31.94,non-biological
78,155.84,non-biological
79,51.03,non-biological
80,88.35,non-biological
